OBČINE,2022 Naravni prirast na 1.000 prebivalcev
SLOVENIJA,0.766497461928934
Ajdovščina,0.802030456852792
Ankaran/Ancarano,0.7233502538071066
Apače,0.7538071065989848
Beltinci,0.6751269035532995
Benedikt,0.9365482233502538
Bistrica ob Sotli,0.751269035532995
Bled,0.7918781725888325
Bloke,0.616751269035533
Bohinj,0.7690355329949239
Borovnica,0.8401015228426396
Bovec,0.6776649746192893
Braslovče,0.7893401015228427
Brda,0.6446700507614213
Brezovica,0.7360406091370558
Brežice,0.7131979695431473
Cankova,0.6802030456852792
Celje,0.7715736040609137
Cerklje na Gorenjskem,0.7487309644670052
Cerknica,0.7411167512690355
Cerkno,0.8299492385786803
Cerkvenjak,0.8477157360406091
Cirkulane,0.6395939086294417
Črenšovci,0.8172588832487311
Črna na Koroškem,0.7614213197969544
Črnomelj,0.7436548223350254
Destrnik,0.7563451776649747
Divača,0.883248730964467
Dobje,0.9314720812182742
Dobrepolje,0.5761421319796954
Dobrna,0.868020304568528
Dobrova - Polhov Gradec,0.9213197969543147
Dobrovnik/Dobronak,0.7842639593908629
Dol pri Ljubljani,0.8477157360406091
Dolenjske Toplice,0.7817258883248731
Domžale,0.8426395939086295
Dornava,0.7106598984771574
Dravograd,0.6624365482233503
Duplek,0.8071065989847717
Gorenja vas - Poljane,0.8959390862944162
Gorišnica,0.6446700507614213
Gorje,0.8147208121827412
Gornja Radgona,0.6700507614213198
Gornji Grad,0.0
Gornji Petrovci,0.5736040609137056
Grad,0.5989847715736041
Grosuplje,0.83248730964467
Hajdina,0.8908629441624366
Hoče - Slivnica,0.7131979695431473
Hodoš/Hodos,0.19796954314720816
Horjul,0.5456852791878173
Hrastnik,0.6269035532994924
Hrpelje - Kozina,0.8147208121827412
Idrija,0.6497461928934011
Ig,0.8071065989847717
Ilirska Bistrica,0.6751269035532995
Ivančna Gorica,0.916243654822335
Izola/Isola,0.6776649746192893
Jesenice,0.7588832487309645
Jezersko,0.8629441624365483
Juršinci,0.416243654822335
Kamnik,0.8197969543147208
Kanal,0.6649746192893401
Kidričevo,0.7055837563451777
Kobarid,0.7309644670050762
Kobilje,0.3451776649746193
Kočevje,0.7157360406091371
Komen,0.7690355329949239
Komenda,0.9644670050761421
Koper/Capodistria,0.7690355329949239
Kostanjevica na Krki,0.7005076142131981
Kostel,0.5076142131979695
Kozje,0.7233502538071066
Kranj,0.8172588832487311
Kranjska Gora,0.7208121827411167
Križevci,0.7385786802030457
Krško,0.7817258883248731
Kungota,0.7639593908629442
Kuzma,0.3756345177664975
Laško,0.6928934010152284
Lenart,0.5380710659898477
Lendava/Lendva,0.6700507614213198
Litija,0.7969543147208121
Ljubljana,0.8045685279187818
Ljubno,0.7944162436548223
Ljutomer,0.6294416243654822
Log - Dragomer,0.8730964467005076
Logatec,0.83248730964467
Loška dolina,0.7690355329949239
Loški Potok,0.6218274111675127
Lovrenc na Pohorju,0.6700507614213198
Luče,0.8604060913705583
Lukovica,0.9441624365482234
Majšperk,0.7360406091370558
Makole,0.751269035532995
Maribor,0.6979695431472082
Markovci,0.9238578680203046
Medvode,0.8197969543147208
Mengeš,0.766497461928934
Metlika,0.7411167512690355
Mežica,0.7817258883248731
Miklavž na Dravskem polju,0.8401015228426396
Miren - Kostanjevica,0.8248730964467005
Mirna,0.8730964467005076
Mirna Peč,0.7766497461928935
Mislinja,0.7791878172588833
Mokronog - Trebelno,0.8959390862944162
Moravče,0.9314720812182742
Moravske Toplice,0.7309644670050762
Mozirje,0.883248730964467
Murska Sobota,0.6928934010152284
Muta,0.83248730964467
Naklo,0.7309644670050762
Nazarje,0.8451776649746192
Nova Gorica,0.7106598984771574
Novo mesto,0.8477157360406091
Odranci,0.6979695431472082
Oplotnica,0.7944162436548223
Ormož,0.6979695431472082
Osilnica,0.9010152284263959
Pesnica,0.5964467005076143
Piran/Pirano,0.6497461928934011
Pivka,0.7842639593908629
Podčetrtek,0.8248730964467005
Podlehnik,0.7842639593908629
Podvelka,0.682741116751269
Poljčane,0.5304568527918782
Polzela,0.6269035532994924
Postojna,0.7842639593908629
Prebold,0.6624365482233503
Preddvor,0.6192893401015228
Prevalje,0.6522842639593909
Ptuj,0.7208121827411167
Puconci,0.7081218274111675
Rače - Fram,0.8705583756345178
Radeče,0.751269035532995
Radenci,0.6928934010152284
Radlje ob Dravi,0.5659898477157361
Radovljica,0.6776649746192893
Ravne na Koroškem,0.8807106598984773
Razkrižje,0.7639593908629442
Rečica ob Savinji,0.7487309644670052
Renče - Vogrsko,0.5177664974619289
Ribnica,0.8172588832487311
Ribnica na Pohorju,0.802030456852792
Rogaška Slatina,0.8223350253807107
Rogašovci,0.7360406091370558
Rogatec,0.7258883248730965
Ruše,0.7309644670050762
Selnica ob Dravi,0.751269035532995
Semič,0.799492385786802
Sevnica,0.6370558375634519
Sežana,0.7208121827411167
Slovenj Gradec,0.7969543147208121
Slovenska Bistrica,0.8096446700507615
Slovenske Konjice,0.7817258883248731
Sodražica,0.8807106598984773
Solčava,0.6776649746192893
Središče ob Dravi,0.8248730964467005
Starše,0.799492385786802
Straža,0.8172588832487311
Sveta Ana,0.7918781725888325
Sveta Trojica v Slov. goricah,0.7893401015228427
Sveti Andraž v Slov. goricah,0.868020304568528
Sveti Jurij ob Ščavnici,0.6903553299492385
Sveti Jurij v Slov. goricah,0.8248730964467005
Sveti Tomaž,0.6878172588832487
Šalovci,0.5634517766497462
Šempeter - Vrtojba,0.7918781725888325
Šenčur,0.8781725888324874
Šentilj,0.7969543147208121
Šentjernej,0.9111675126903553
Šentjur,0.8121827411167513
Šentrupert,0.8172588832487311
Škocjan,0.766497461928934
Škofja Loka,0.8604060913705583
Škofljica,0.8477157360406091
Šmarje pri Jelšah,0.7969543147208121
Šmarješke Toplice,0.6802030456852792
Šmartno ob Paki,0.8248730964467005
Šmartno pri Litiji,0.616751269035533
Šoštanj,0.5812182741116751
Štore,0.36040609137055835
Tabor,1.0
Tišina,0.7868020304568528
Tolmin,0.6370558375634519
Trbovlje,0.6091370558375635
Trebnje,0.8223350253807107
Trnovska vas,0.8426395939086295
Trzin,0.6954314720812182
Tržič,0.7690355329949239
Turnišče,0.7766497461928935
Velenje,0.8248730964467005
Velika Polana,0.5532994923857868
Velike Lašče,0.8197969543147208
Veržej,0.7131979695431473
Videm,0.7258883248730965
Vipava,0.8197969543147208
Vitanje,0.7690355329949239
Vodice,0.9060913705583757
Vojnik,0.66751269035533
Vransko,0.6649746192893401
Vrhnika,0.8350253807106599
Vuzenica,0.9010152284263959
Zagorje ob Savi,0.7461928934010152
Zavrč,0.8578680203045684
Zreče,0.852791878172589
Žalec,0.83248730964467
Železniki,0.850253807106599
Žetale,0.8629441624365483
Žiri,0.8654822335025382
Žirovnica,0.8654822335025382
Žužemberk,0.9441624365482234
