OBČINE,Kriminaliteta
SLOVENIJA,0.6296508299942758
Ajdovščina,0.8254149971379507
Ankaran/Ancarano,0.9336004579278764
Apače,0.6136233543216942
Beltinci,0.5993131081854608
Benedikt,0.6365197481396679
Bistrica ob Sotli,0.8803663423010876
Bled,0.7664567830566685
Bloke,0.8981110475100171
Bohinj,0.8259874069834001
Borovnica,0.8105323411562679
Bovec,0.8574699484831139
Braslovče,0.8282770463651974
Brda,0.8546078992558672
Brezovica,0.8402976531196336
Brežice,0.6788780767029192
Cankova,0.7653119633657699
Celje,0.5529479107040642
Cerklje na Gorenjskem,0.8712077847738982
Cerknica,0.8111047510017172
Cerkno,0.9084144247281053
Cerkvenjak,0.6771608471665713
Cirkulane,0.7670291929021178
Črenšovci,0.4504865483686319
Črna na Koroškem,0.7641671436748713
Črnomelj,0.3646250715512307
Destrnik,0.6691471093302804
Divača,0.7842014882655982
Dobje,0.9044075558099599
Dobrepolje,0.8236977676016026
Dobrna,0.7601602747567258
Dobrova - Polhov Gradec,0.9358900973096738
Dobrovnik/Dobronak,0.6874642243846594
Dol pri Ljubljani,0.8465941614195764
Dolenjske Toplice,0.7601602747567258
Domžale,0.7149398969662277
Dornava,0.6994848311390957
Dravograd,0.6954779622209502
Duplek,0.6662850601030338
Gorenja vas - Poljane,0.8998282770463653
Gorišnica,0.6720091585575272
Gorje,0.8357183743560389
Gornja Radgona,0.5535203205495134
Gornji Grad,0.8946765884373211
Gornji Petrovci,0.7040641099026903
Grad,0.8603319977103606
Grosuplje,0.6038923869490554
Hajdina,0.5809959931310819
Hoče - Slivnica,0.6966227819118489
Hodoš/Hodos,0.6588437321121923
Horjul,0.9244419004006869
Hrastnik,0.6662850601030337
Hrpelje - Kozina,0.7647395535203205
Idrija,0.8402976531196337
Ig,0.745277618775043
Ilirska Bistrica,0.7733257012020607
Ivančna Gorica,0.842587292501431
Izola/Isola,0.6199198626216371
Jesenice,0.5878649112764739
Jezersko,0.9639381797366915
Juršinci,0.6783056668574698
Kamnik,0.7143674871207785
Kanal,0.8259874069834001
Kidričevo,0.6920435031482541
Kobarid,0.8986834573554665
Kobilje,0.8030910131654264
Kočevje,0.16428162564396098
Komen,0.8568975386376645
Komenda,0.866056096164854
Koper/Capodistria,0.6302232398397252
Kostanjevica na Krki,0.862621637092158
Kostel,0.938179736691471
Kozje,0.813966800228964
Kranj,0.7372638809387522
Kranjska Gora,0.7859187178019462
Križevci,0.7836290784201487
Krško,0.50429307384087
Kungota,0.6737263880938752
Kuzma,0.7395535203205494
Laško,0.726960503720664
Lenart,0.5621064682312534
Lendava/Lendva,0.45678305666857466
Litija,0.7017744705208929
Ljubljana,0.663423010875787
Ljubno,0.8717801946193474
Ljutomer,0.5094447624499141
Log - Dragomer,0.8918145392100744
Logatec,0.8162564396107612
Loška dolina,0.9049799656554093
Loški Potok,0.8500286204922725
Lovrenc na Pohorju,0.802518603319977
Luče,1.0
Lukovica,0.81740125930166
Majšperk,0.7315397824842587
Makole,0.7332570120206068
Maribor,0.415569547796222
Markovci,0.7303949627933599
Medvode,0.8105323411562679
Mengeš,0.797366914710933
Metlika,0.569547796222095
Mežica,0.7418431597023469
Miklavž na Dravskem polju,0.6239267315397825
Miren - Kostanjevica,0.8340011448196909
Mirna,0.9244419004006869
Mirna Peč,0.7864911276473956
Mislinja,0.7012020606754436
Mokronog - Trebelno,0.8649112764739553
Moravče,0.8631940469376074
Moravske Toplice,0.6937607326846023
Mozirje,0.6468231253577561
Murska Sobota,0.3434459072696051
Muta,0.73039496279336
Naklo,0.8271322266742989
Nazarje,0.8093875214653692
Nova Gorica,0.7532913566113337
Novo mesto,0.39381797366914717
Odranci,0.7424155695477963
Oplotnica,0.804235832856325
Ormož,0.728677733257012
Osilnica,0.9147109330280481
Pesnica,0.6090440755580995
Piran/Pirano,0.5701202060675443
Pivka,0.7469948483113911
Podčetrtek,0.8649112764739553
Podlehnik,0.6657126502575844
Podvelka,0.6857469948483113
Poljčane,0.7332570120206068
Polzela,0.7023468803663423
Postojna,0.6090440755580996
Prebold,0.7950772753291357
Preddvor,0.8420148826559817
Prevalje,0.7303949627933601
Ptuj,0.4785346307956496
Puconci,0.6754436176302232
Rače - Fram,0.7160847166571265
Radeče,0.7676016027475672
Radenci,0.5993131081854608
Radlje ob Dravi,0.6966227819118489
Radovljica,0.7515741270749857
Ravne na Koroškem,0.6016027475672582
Razkrižje,0.9175729822552948
Rečica ob Savinji,0.951345163136806
Renče - Vogrsko,0.8111047510017172
Ribnica,0.507727532913566
Ribnica na Pohorju,0.7847738981110475
Rogaška Slatina,0.728677733257012
Rogašovci,0.67830566685747
Rogatec,0.7698912421293647
Ruše,0.5128792215226101
Selnica ob Dravi,0.7178019461934745
Semič,0.27761877504293087
Sevnica,0.7338294218660562
Sežana,0.7824842587292501
Slovenj Gradec,0.6559816828849456
Slovenska Bistrica,0.6639954207212364
Slovenske Konjice,0.6542644533485975
Sodražica,0.8540354894104178
Solčava,1.0
Središče ob Dravi,0.9473382942186606
Starše,0.7309673726388093
Straža,0.7401259301659988
Sveta Ana,0.7378362907842013
Sveta Trojica v Slov. goricah,0.8116771608471666
Sveti Andraž v Slov. goricah,0.9124212936462507
Sveti Jurij ob Ščavnici,0.6949055523755008
Sveti Jurij v Slov. goricah,0.8889524899828277
Sveti Tomaž,0.7830566685746995
Šalovci,0.7275329135661133
Šempeter - Vrtojba,0.7916428162564396
Šenčur,0.8820835718374356
Šentilj,0.6531196336576988
Šentjernej,0.4733829421866055
Šentjur,0.7401259301659988
Šentrupert,0.819118488838008
Škocjan,0.0
Škofja Loka,0.7853463079564968
Škofljica,0.8231253577561534
Šmarje pri Jelšah,0.6639954207212363
Šmarješke Toplice,0.8740698340011448
Šmartno ob Paki,0.7716084716657126
Šmartno pri Litiji,0.8666285060103034
Šoštanj,0.7790497996565541
Štore,0.7406983400114482
Tabor,0.9152833428734974
Tišina,0.7040641099026903
Tolmin,0.8070978820835718
Trbovlje,0.5403548941041785
Trebnje,0.6410990269032627
Trnovska vas,0.8838008013737837
Trzin,0.8391528334287349
Tržič,0.7206639954207212
Turnišče,0.5706926159129937
Velenje,0.6502575844304522
Velika Polana,0.7945048654836863
Velike Lašče,0.8465941614195764
Veržej,0.9072696050372067
Videm,0.815684029765312
Vipava,0.8385804235832857
Vitanje,0.732112192329708
Vodice,0.862621637092158
Vojnik,0.7733257012020607
Vransko,0.8322839152833428
Vrhnika,0.7801946193474527
Vuzenica,0.7395535203205494
Zagorje ob Savi,0.7086433886662851
Zavrč,0.7527189467658842
Zreče,0.7469948483113908
Žalec,0.6794504865483686
Železniki,0.8471665712650257
Žetale,0.8122495706926159
Žiri,0.9032627361190613
Žirovnica,0.8437321121923297
Žužemberk,0.8494562106468231
